,caption,date,customer,rating,transcript
0,World class hospitality !, February 2021,Saumitra,5.0,"<q class=""IRsGHoPm"">
 <>
  After experiencing my stay at amar villas I can tell you this property will be my reason to revisit the Great Taj mahal. Since I was not aware about the history of the property so on my arrival at the property I assumed that this would have been a very luxurious palace converted to a hotel. The true detailing and experience that actually mesmerizes all your 5 senses can't be captured in couple of pictures or in a review. You have to be there to feel it.  Pros 1. Lush green landscape with exotic flora and fauna 2. Fantastic architecture relevant to the region  3. Royal entrance unlike a modern hotel with a porch opening up in the lobby. Here there is a massive stone darvaza(gate) that opens up in a very big courtyard and garden with countless fountains  4. spacious rooms with
 </>
 < class=""_1M-1YYJt"">
  modern amenities and detailed interiors  5. All the rooms are taj facing and along with that the view of the hotel is nothing less than taj 6. Extra ordinarily warm and friendly staff. Special thanks to Mr pathak(gm), prache(room manager),shashank(restaurant manager), chef saurabh for ensuring that our experience was memorable 7. Dinner under the stars is a must to do at amar villas in my opinion(you will not regret it) 8. Excellent food and customising it is totally possible   Cons  There are ups and downs in all the property but what matters is that how well the hotel makes it up to you once you have informed them about it and these guys will leave no stones unturned.
 </>
 <>
  …
 </>
</q>"
1,A perfect destination for family and friends, January 2021,Dr Glossy Sabharwal,5.0,"<q class=""IRsGHoPm"">
 <>
  We visited Amarvillas Agra with our family in the month of January 2021. Coming from the hectic work schedule in Delhi, it was one of the best holidays for us. Starting from the moment we entered Amar villas until the day we left from the property each moment was an experience we shall never forget. The Hospitality was unmatched and each member of the staff personally took such good care of us and our kids that it felt like we are their family and it’s our home. Mr Vishal Pathak, the GM, was kind enough to take out time to meet us and take our feedback many times during our stay. Mr Deep, Mr Harshid , Mr Akash and each person we came in contact with, touched our heart. It was an experience beyond our expectations. They did not leave anything undone whether it was the surprise
 </>
 < class=""_1M-1YYJt"">
  birthday celebrations for my father or organising my sons 8th birthday early in the morning they went out of the way and took care of us with every nuance being looked into. and with a smile on their face, always ! It was not only the free upgrades and the champagnes but also the fantastic hospitality and service that took our breath away. We highly recommend a trip to Oberoi Amarvillas !
 </>
 <>
  …
 </>
</q>"
2,Stands true to the Oberoi standards , January 2021,rishi khanna,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed at the Amarvilas this jan2021 ...most beautiful property in Agra...All the rooms overlook the Taj Mahal ....the service is impeccable and the staff is very courteous.will surely stay here again ..
 </>
</q>"
3,Anniversary trip, January 2021,Rahul T,5.0,"<q class=""IRsGHoPm"">
 <>
  Fantastic view and proximity to Taj Mahal. Ideal place to stay in Agra if you want to enjoy a luxurious and relaxing vacation. The property is awesome with 10 mins walk to TAJ. You can have wonderful views from almost every room. The added advantage is the lovely food and warm hospitality of the staff.  We enjoyed the candle lit dinner with taj views to celebrate our 20th anniversary. A perfect place to do so.
 </>
</q>"
4,Beautiful hotel, January 2021,gomit1981,5.0,"<q class=""IRsGHoPm"">
 <>
  Cannot begin to explain the experience I had. Once u a lifetime kind of experience. Mesmerising . The moment we checked in till the time we checked out everything was so perfect. Will surely go again.
 </>
</q>"
5,Yeah its Amarvilas but few things to improve , January 2021,saumya_Mohit,4.0,"<q class=""IRsGHoPm"">
 <>
  We stayed at Oberoi Amarvilas during the weekend for a short and sweet 2 days trip with kids..The main aim was to have a  relaxed weekend and see Taj Mahal.. The hospitality was great and the front desk staff as well the manager who came to explain about the activities for kids and Taj Mahal visitation hours was courteous...the staff also was quick to complete the checkin readily and soon we were in our rooms...The lady who showed us the room was very sweet too.The property is amazingly beautiful..perfect for the destination weddings..the architecture around the big clean pool is marvellous and the lush green garden behind that is so well maintained ...We clicked lot many pics and the property is indeed beautiful...We also had a high tea which was nice...they had laid out so
 </>
 <>
  …
 </>
</q>"
6,A memorable family vacation, January 2021,TarunMalik,5.0,"<q class=""IRsGHoPm"">
 <>
  We had a chance to spend the turn of the year at The Amarvilas. It turned out to be a holiday to remember for a lifetime. Very warm staff, offering personalised service, the most delectable meals, amazing property overlooking the magnificent Taj. The NY Eve was very well curated with an amazing ambience, lavish gourmet spread and great music by the band from NE. Truely an amazing experience we will cherish for long. Thanks Team Amarvilas.
 </>
</q>"
7,New Year Gig, December 2020,Salim John Sadiq.,5.0,"<q class=""IRsGHoPm"">
 <>
  The best property I have ever been to. It was 'the' perfect experience. From the behavior of the staff, to the service to the facilities provided.  What more can I write when there are NO flaws to talk of.  Hats off to every single member of this heavenly property.
 </>
</q>"
8,Beautiful short trip and stay, December 2020,Anjali B,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed at Amarvilas on 30th Dec. Amazing stay, hospitality, in room dining,  views . Staff was excellent and very polite and always ready to help . I cannot take one name everyone was very courteous and good. Artists who were at Santoor in dining hall and Flute player in lobby were very nice. A surprise birthday cake and Rose petal decor in room for my husband were perfect . Thank you everyone
 </>
</q>"
9,Best ever, January 2021,Kartikeya K,5.0,"<q class=""IRsGHoPm"">
 <>
  Had a wonderful stay, from a seamless check into a beautiful well decorated room. The staff is friendly, warm and welcoming.  Special thanks to Aakash, Mansavi and his entire team for a great dining experience for both lunch and dinner. Food quality, taste and service stands out and is better than most places i have visited. A beautiful set up was organized for us by the team for dinner which was very special and came from heart,made the whole dining experience all the more special.   Breakfast was also very special as we had a lot to choose from a rather elaborate menu.   All dishes were very well prepared, plated and tasted delectable.   Hotel is doing everything possible in keeping their guest safe and secure All staff wear masks, gloves and shields religiously which is very
 </>
 <>
  …
 </>
</q>"
