,caption,date,customer,rating,transcript
0,Very Good, January 2021,AKM,5.0,"<q class=""IRsGHoPm"">
 <>
  Peaceful place, attentive and well mannered staff, excellent service.Best quality of customer service value for money.Wonderful experience .dining is awesome ...,taste is awesome.we had a wonderful stay here.
 </>
</q>"
1,Beautiful property and hospitality, January 2021,kanupriya00,4.0,"<q class=""IRsGHoPm"">
 <>
  We stayed at grand imperial agr afor 2 nights during our trip to Agra. The property oozed grandeur and took us back in time -100years when the peroperty was built. Comfortable and spacious room, clean lenin and efficient  room service. Beautifully kept lawns and open areas for spilling out into the property to enjoy nature. The only draw back was that the restaurant wasnt on full fledgit due to the post covid scenes and the food wasnt that great. but overall a great experience to stay right int he centre of the city and find peace.
 </>
</q>"
2,Great Stay, January 2021,Pranav G,5.0,"<q class=""IRsGHoPm"">
 <>
  One of the best stay, I ever had. The rooms were great with Wonderful aesthetics. They have puppet show, on call bornfire, rooms with swimming pool view and garden and many more activities.I would definitely recommend to come here whenever you visit AGRA
 </>
</q>"
3,Absolutely Perfect!, November 2020,SJB19,5.0,"<q class=""IRsGHoPm"">
 <>
  I had the pleasure of staying in the Grand Imperial for Diwali 2020 and I could not have been happier. My room was absolutely gorgeous with a front and a back door - the back door leads to the beautiful pool area. The gardens are stunning. The staff super friendly and helpful under trying times. The food was basic, but homey and perfect and super tasty. I loved every second I was there and after suffering at the great monuments and their insane ticket policies, it was pure joy and delight to come back to the Grand Imperial. I cannot recommend it highly enough.
 </>
</q>"
4,Nice Hotel, November 2020,Abhijit Baghel,3.0,"<q class=""IRsGHoPm"">
 <>
  I visited the hotel last weekend. Location is difficult to fine on GSP. Had to ask few people and then reached the location. After entering the premise the first impression was not good, since the hotel did not match anything as they have shown in their pics. Entire hotel lawn was covered with marriage stage decoration due to which the look and feel of the hotel was all compromised and it looked nothing like it is in their websites.  At the time of checkin, Sahaya was very courteous and she helped in quick check in. The room was good and matches to what has been shown in the photos and it does give you that feel of a heritage property. The hotel does need restoration but considering the pandemic times I think they have been managing well since they have just started operating
 </>
 < class=""_1M-1YYJt"">
  again.  Biggest disappointment was the food in this hotel. Their restaurant is closed for lunch &amp; dinner so they offer room service with limited options. The food quality that we had ordered in the room did not match the rates that they have quoted for lunch or dinner.   Restaurant was opened in the morning for breakfast. It had a good royal feel and I realized then when working at their full capacity it would have looked more classier. For breakfast the options were limited but whatever was offered was good. I had travelled with a 4 year kid so he could eat that breakfast so full marks to breakfast given the limitations within which the hotel is operating.  Another disappointment was hot water timings. Probably this is the first time that I have visited a hotel wherein they have mentioned that hot water timings are only between 5-11 AM. In today's world when a basic 2-3 star hotel also offers 24 hours hot water supply it is hard to understand this policy for the hotel.  Probably if we would have visited the property in the regular times then the experience might have been different the benefit of which I have reflected in the ratings. But my current experience wasn't outstanding!!
 </>
 <>
  …
 </>
</q>"
5,Nice to Visit. A New Experience from Hotels First time In Life Badest one, November 2020,Shrey Goyal,1.0,"<q class=""IRsGHoPm"">
 <>
  I come to this hotel for the first time   When a wedding is being held at this hotel, I first met the Unprofessional Front Office, then the Unprofessional Housekeeping, which is cleaning up in the middle of the function crowd with a dirty sweep, Phera Ceremony planned at pool side but we saw such a dirty pool. I Really Don't thing to Give Any Comments on Fooding Section. all Guys know My View After Reading my Reviews   If someone is planning an event in this hotel, then don't do it it's a Advice
 </>
</q>"
6, AGRA The Grand Imperial AUTHENTIC INDIAN HOMELY GRANDEUR, December 2019,eamesescape,5.0,"<q class=""IRsGHoPm"">
 <>
  The Grand Imperial ,Agra home to one of one of the Seven Wonders of the World: The Taj Mahal. Most people do not spend more than a night in Agra - and I spent 4 nights ,which allowed for visiting neighbouring towns Forts and exploring the city.This is a  heritage property dating back to the early 20th century, every corner of the property is embedded with memories and echoes live history. The Grand Imperial offers lavish homely original heritage accommodation in the heart of Agra. The hotel features stunning British colonial architecture, an outdoor swimming pool, and a rooftop terrace offering views of the iconic Taj Mahal. The refined rooms feature rich décor, antique furnishings, high ceilings and colourful tapestries. Adorned with beautiful chandeliers, Shehenshah
 </>
 <>
  …
 </>
</q>"
7,Such a beautiful Hotel with Pool, March 2020,Cilla T,5.0,"<q class=""IRsGHoPm"">
 <>
  We needed more than one night here. There was much to enjoy. The pool  and grassed area was really beautiful. The hotel was opulent and the rooms magnificent, comfortable and welcoming. We ate in the restaurant. The food was lovely with music.  Us ladies enjoyed having our hands decorated with henna. Many thanks Grand Imperial via Trailfinders from Mr &amp; Mrs Trusler
 </>
</q>"
8,Lovely Room, March 2020,Paul R,4.0,"<q class=""IRsGHoPm"">
 <>
  Great for a 1 night stay whilst seeing the Taj.  Room was clean, the bed comfortable and the WIFI was good.  The hotel has loads of heritage character/charm and the room was amazing.  If you are a light sleeper though then road noise might be an issue.
 </>
</q>"
9,Great Colonial Hotel, March 2020,Jeffcafc,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed at this lovely hotel whilst visting Agra. Its an old Colonal building and looks as good in real life as the photos. We stayed in rooms on the first floor and they were large, and well maintained. The staff were very helpful. Swimmimg pool area was clean and invitng. Would highly recommend a stay here when visiting Agra
 </>
</q>"
