,caption,date,customer,rating,transcript
0,Excellent service!, February 2021,RashiAgarwal,5.0,"<q class=""IRsGHoPm"">
 <>
  I visited the hotel in February for 2 nights, we were a family of 7. From the start the service was impeccable. It was my father I  laws birthday and when I requested for an upgrade for them, the room was allocated. The staff, specially OM ji at dining and Vinay ji at reception were extremely courteous and eager to serve. It's a well maintained and beautiful property. One of the best in Agra. There are huge  lawns which can be used by family. Overall , we had a good time. Due to covid, there are no engagement activities and almost all facilities are closed down. Apart from that ,everything was par excellence.
 </>
</q>"
1,Excellent Service, February 2021,Pranav Sood,5.0,"<q class=""IRsGHoPm"">
 <>
  Great service. Great food. Special mention to Anwar for his amazing hospitality and service. Loved it! Would definitely recommend to visit Taj Banno. Had an amazing time. The staff is extremely helpful!
 </>
</q>"
2,Excellent hotel excellent food, February 2021,Ashish Choudhary,5.0,"<q class=""IRsGHoPm"">
 <>
  Hotel ambience and cleanliness is very good. Food is excellent I really like a senior most person Mr Anwar serving food with greetings and giving good support to our kids at the time of dinner 5 out of 5  Thanks Ashish choudhary
 </>
</q>"
3,Dining Under the Stars!, February 2021,Sheetal Singh,5.0,"<q class=""IRsGHoPm"">
 <>
  Had a dinner at ITC Mughal in one of the Cabanas near poolside. Amazed by their hospitality and services, special mention to Mr. Bulkesh who made sure everything was perfect for the birthday dinner!!!
 </>
</q>"
4,"Great stay at the ITC Mughal, Agra", February 2021,Puneet Chopra,5.0,"<q class=""IRsGHoPm"">
 <>
  We stayed for two nights three days at the ITC Mughal, Agra . We were two families and we enjoyed our stay a lot. As a Marriott platinum member, we got an upgrade and we signed into the MAP plan to enjoy the much heard about delicacies of ITC , especially avoiding the city food amid the pandemic. The service was class and the crew excellent. Special thanks to Ankit, the front office manager, Omveer, Taj Maykhana Club and Anwar in Taj Bano. The food was excellent, keep up the good work guys.  Cheers  Puneet Chopra
 </>
</q>"
5,Must visit- satisfaction guaranteed, February 2021,RITIKA M,5.0,"<q class=""IRsGHoPm"">
 <>
  Beautiful and spacious property and was excellently maintained. The staff was so courteous- be it the housekeeping staff, the cook, the guard Undoubtedly u must visit this property whenever you come to Agra
 </>
</q>"
6,Hospitality beyond Excellence by Mr.Ankit Manocha & Team!! , February 2021,Sanyam K,5.0,"<q class=""IRsGHoPm"">
 <>
  Hello Everyone,   I would like to express my gratitude towards Mr. Samir jilani(GM) for helping me with the trip planning and accepting my few requests before arrival to Agra and specially to Mr Ankit manocha for planning everything for me and my friends whether its a early checkin , Upgrade request and giving me and my friends the best experience on my 30th Bday celebrations..   It was indeed a pleasure getting stayed at this property on my special day and the room service , restaurant team and even the housekeeping staff were also so accommodating to all our requests and we were greeted everytime with a smile and thank you for everything we needed and its only possible when the whole team works together to make your stay a rememorable one..   Highlights :  1. Suite no. 555 is
 </>
 <>
  …
 </>
</q>"
7,Visited with family and frds, January 2021,Debbi,5.0,"<q class=""IRsGHoPm"">
 <>
  Was a great service and people are very friendly and approachable had a gala time celebrating anniversary. Rajat was a great help there to be contacted. Great property and clean rooms. Try contacting for functions👍🏻
 </>
</q>"
8,Excellent hotel with exceptional service, February 2021,Debika B,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed at ITC Mughal for a short vacation with family.  The stay was as unique and beautiful as the Taj . Loved the room ( artistically designed and maintained with a great sunrise view), food ( must visit Peshawri and go for the  grilled fish at multi cuisine restaurant )and great service by all team members.  Looking forward to my next visit. Kudos
 </>
</q>"
9,Mr Ashwani Kumar, February 2021,ashwani4sunny,5.0,"<q class=""IRsGHoPm"">
 <>
  The total feel of the hotel had been amazing. And very courteous and helpful staff was cherry on the cake. Special mention to front desk staff Ms Mohita who helped us to modify the bookings to ensure special arrangements for my parents 40th Anniversary to make their day extra special.  Thank you once again for making our trip memorable.
 </>
</q>"
10,Itc Mughal, February 2021,gaurav g,5.0,"<q class=""IRsGHoPm"">
 <>
  Had a excellent weekend with family staff preety friendly nice ambiance, hotel did well to maintain covid guidelines. Food quality is excellent as usual with ITC.  Got upgraded to grand presidential suite and room was great with staff at 24 hour service.
 </>
</q>"
11,Food at taj bano, February 2021,Kawaldeep singh sapra,5.0,"<q class=""IRsGHoPm"">
 <>
  Best service really good mughlai food the chef took a reallt good care of us mr anwar and shankar do visit this place if you are in agra The restaurant also has a very good ambiance never miss this place
 </>
</q>"
12,Perfect getaway and staycation, January 2021,Tanima Agarwal,5.0,"<q class=""IRsGHoPm"">
 <>
  A beautiful and esoteric hotel with one of the most supportive teams and staff makes it one of my most favourite staycations. Even in Covid times as they have all the precautions in place.  Special mention for Mr Bhavya and Mr Ankit Manocha who gave our vacation a personal touch and made it extra special.   Will be going back definitely to celebrate our Valentines Day and many more!
 </>
</q>"
13,Great property and lovely staff, February 2021,Ayushe C,5.0,"<q class=""IRsGHoPm"">
 <>
  We had a great time there. Rooms were  clean and beautiful and their staff is incredibly nice and helpful, specially Anwar in restaurant Taj Bano! He noticed that i am sitting with my baby and could not go get my self a plate at the buffet and came to ask if he could help me. Little things that makes your stay memorable.
 </>
</q>"
14,Taj Bano restaurant, February 2021,Dheeraj,5.0,"<q class=""IRsGHoPm"">
 <>
  It was a great experience with Taj Bano restaurant.Food quality is excellent and hospitality is very nice.Staff is very humble and polite.Mr Anwar and Bulkesh treated us very nicely.Would surely visit again and recommend this strongly.
 </>
</q>"
15,Anniversary , February 2021,Arun,5.0,"<q class=""IRsGHoPm"">
 <>
  Taj bano has amazing services and delicious food has been served. I will appreciate their staff who attended us quite well and specially person named Anwar Ji has suggested us few good items to try and those were really delicious.   Thanks to team ITC Mugal Agara
 </>
</q>"
16,Best Food in Agra , February 2021,prakhar p,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC TaJ !!   Had great experience dinning at Taj Agra. All thanks to Ms. Mehak and her team. Lovely ambience and staff caters to all the needs.  Chef Rajvir made it worth while. I had vegan food, usually difficult to find.   HIGHLY RECOMMENDED!!!!
 </>
</q>"
17,Chef Rajveer the hero , February 2021,sid2222,5.0,"<q class=""IRsGHoPm"">
 <>
  What a amazing variety of food he cooked for us bhavya is a great host and wonderful person as well i will 100% visit again mughal along with chef there one more chef who i cant miss is kavitha she is amazing as well
 </>
</q>"
18,Hospitality, February 2021,Teena,5.0,"<q class=""IRsGHoPm"">
 <>
  *Great Hospitality!* Absolutely outstanding hotel! Helpful and friendly staff especially Mr Anwar who went above and beyond to make sure we had the best time. The rooms were comfortable and clean and the property is beautiful with the landscaped gardens being the best feature of the luxurious property.The food was also lip smacking my good. Will definitely come back and I would highly recommend this hotel.
 </>
</q>"
19,Taj Bano, February 2021,Mohit Goyal,5.0,"<q class=""IRsGHoPm"">
 <>
  Staff was very polite. Dinner was very fantastic. Mr Anwar was the man who make our visit to Taj Bano a memorable one. Food served was very tasty and was so fresh. All credit goes to staff for making our evening a memorable one..
 </>
</q>"
20,Taj Bano , February 2021,pragatiawasthi05,5.0,"<q class=""IRsGHoPm"">
 <>
  We loved the service and hospitality of team at Taj Bano, Mr Mobin has gone out of his way to give a delectable Peshawari experience to us. The service given by Mr Anwar n Mr Sunil added further flavour to our dinner post Lockdown
 </>
</q>"
21,ITC Agra Restaurant, January 2021,Yagyesh,5.0,"<q class=""IRsGHoPm"">
 <>
  In simple words"" Great food, Great Taste and Great Service""...Thank you Mr Sharma for serving us on our special day Marriage Anniversary...My specifications on every dish is so peculiar and they served it with full score...Thanks again
 </>
</q>"
22,Amazing Hospitality, February 2021,Pulkit Mathur,5.0,"<q class=""IRsGHoPm"">
 <>
  ITC Mughal lives by its name,the grandeur here is just wow ,staff is very freindly and Mr Anwar of Taj Bano restaurant here needs special mention for his superb hospitality to make sure his guests feel honoured
 </>
</q>"
23,Excels Service with great food., February 2021,Krish Agarwal,5.0,"<q class=""IRsGHoPm"">
 <>
  The food and service is amazing .The staff are pretty friendly and helpful. Specially Mr Anwar and Shankar they were of a lot of help. I really enjoyed this experience and I would recommend other to try it out too.
 </>
</q>"
24,Unparalleled Hospitality, January 2021,Maggie Isaac,5.0,"<q class=""IRsGHoPm"">
 <>
  I visited the ITC Agra with my family to celebrate my sister´s birthday on the 30th Jan 2021 for 1 night. We took an all inclusive of meals package. We had a fantastic stay. All thanks to Ankit Manocha. From booking queries to check in etc, he patiently took good care of us. Rooms were immaculately clean. Birthday cake sent to the room. The property is amazing right from the time we enter the property. There are many landscaped gardens all throughout the hotel. We basked in the sun and strolled around. The food was good but the dining areas were a bit too crowded. Some managing of dining areas need to be improved. Special thanks to Anwar and Vikrant in the Dining restaurant. One piece of advice....one must stay longer to enjoy the hospitality and the city. I shall definitely be
 </>
 <>
  …
 </>
</q>"
25,It’s an experience, January 2021,Amara A,5.0,"<q class=""IRsGHoPm"">
 <>
  Comfortable and clean rooms, hygienic and tasty food, superlative services, lavish and beautiful gardens. During these hard times, I feel proud to know that ITC has come up WeAssure initiatives of sanitization. I feel secure while my stay in Agra. Love to come back here again and again.
 </>
</q>"
26,Birthday celebration, January 2021,Beulah I,5.0,"<q class=""IRsGHoPm"">
 <>
  I visited the hotel on 30th January 2021 to celebrate my birthday on 31st.  It's a beautiful property with huge lawns to bask in the sun.  Ankit at the front desk was very courteous and we had a smooth check in.  The staff was courteous and pleasant and especially Vikrant who gave all of us special attention.  Will go there again on my next visit.
 </>
</q>"
27,Stay at ITC MUGHAL, January 2021,Shubham Khemka,5.0,"<q class=""IRsGHoPm"">
 <>
  We as a group of 7 had a fantastic time at ITC MUGHAL.The staff was courteous and pleasant, the property was beautiful and neat and clean from top to bottom. The meals we had at the property were lip smacking. Mr.Ankit Manocha was the associate we dealt with and he was very helpful.
 </>
</q>"
28,Extraordinary hospitality, January 2021,Hadia owais,5.0,"<q class=""IRsGHoPm"">
 <>
  A beautiful property with luxury and comfort! Special  thanks to Mr .Gajender for making our visit memorable! His passion towards his work is highly commendable! Keep the good work! Thanks to the entire team
 </>
</q>"
29,Wonderful stay at ITC Mughal, November 2020,aggy20152015,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent stay with a special mention to housekeeping staff. They were just anywhere and everywhere whenever I had any requirement. Spacious, well lit and awesome ambience especially the rooms. Great feeling to be thr and hoping to have one more trip soon.
 </>
</q>"
30,My experience at peshawri, February 2021,Mehr S,5.0,"<q class=""IRsGHoPm"">
 <>
  I went to Peshawri at ITC Mughal with my mother and sister for dinner to celebrate my mother’s birthday and my experience was amazing. I was treated so warmly and felt extremely welcome and comfortable by the served Mr. Sunil and the supervisor Mr. gouranga. The head chef too came and greeted us! Our experience at Peshawri was great :)
 </>
</q>"
31,Honest review, January 2021,Wander64532,4.0,"<q class=""IRsGHoPm"">
 <>
  Positives 1. Beautiful Gardens and pools all around the property. Fountains looks amazing 24*7 2. Breakfast buffet is amazing at Taj Bano  3. Staff is very professional and caring. ( special thanks to Mr. Anwar for his services)  Anwar  4. Rooms are spacious, highly maintained and beautiful.   Negative 1. Not satisfied with room service.  2. Continental sweet dishes in dinner buffet will fail to tickle Indian taste buds. Further saag dish  was taste less ( Daal is best must try)
 </>
</q>"
32,Holiday..., January 2021,Desh V,5.0,"<q class=""IRsGHoPm"">
 <>
  It's a bliss when you have such a wonderful holiday,the one which we had from the 27th Jan 2021 till today. The ambience of the hotel ,literally  took our breath away. The plush green lawns,immaculate flower beds, and to top it we got upgraded. The main apprehension was about food, being Celiac patient.  Utter caution has to be taken . Very strict dietary regime to be followed. But, wow, the Chef, Kavita, really took care. When she was not there, Sumit, carried the baton. Kudos to them, both. In the front office ,Vishwas Kapoor, was very very helpful. The dining room staff, Bicky and his team ,do also deserve praise for in the way they served us, with so much love. If you have any food allergies, this is the right place to go,if not, the more so the reason to go. Had a meeting
 </>
 <>
  …
 </>
</q>"
33,Excellent, January 2021,Saad,5.0,"<q class=""IRsGHoPm"">
 <>
  Excellent service. Amazing experience. Very comfortable, hassle free and luxurious stay. Food is very very good. Very amiable and attentive staff.  Esp thanks to Mr Anwar. All protocols were followed properly.
 </>
</q>"
34,Leisure trip, January 2021,Gaurav L,5.0,"<q class=""IRsGHoPm"">
 <>
  Stayed her on 27 Jan had a very pleasant stay  Room was clean and very well done , checkin was smooth and flawless Food was very tasty and best part served hot in room when we had ordered   All the request were taken care of my son had a amazing time running around the beautiful gardens .  A pocket of fresh air full of oxygen and warmth
 </>
</q>"
35,Good property , January 2021,mohitbatra24,5.0,"<q class=""IRsGHoPm"">
 <>
  It was a great experience, starting from lovely luxurious suites, location,amazing hospitality !!  Delicious food and excellent staff... special thanks to Mr ANKIT  in front office who was an absolute professional in taking good care of the guests. Would be visiting the hotel again👍👍
 </>
</q>"
36,Amazing stay, January 2021,manas Malhotra,5.0,"<q class=""IRsGHoPm"">
 <>
  Had an amazing stay at the hotel. All staff was short friendly and polite. The rooms was so clean taking care of current situation. Food was awesome . The room had a really good view. We enjoyed our stay very much.would love to be back.
 </>
</q>"
